爱	ài
八	bā
爸爸	bàba
包子	bāozi
北京	Běijīng
鼻子	bízi
比	bǐ
不客气	bú kèqi
不	bù
茶	chá
长	cháng
吃	chī
打电话	dǎ diànhuà
大	dà
的	de
弟弟	dìdi
点	diǎn
电视	diànshì
对不起	duìbuqǐ
多	duō
多少	duōshao
耳朵	ěrduo
二	èr
房间	fángjiān
分钟	fēnzhōng
高	gāo
高兴	gāoxìng
哥哥	gēge
个	gè
个子	gèzi
狗	gǒu
汉语	Hànyǔ
好	hǎo
好吃	hǎochī
号	hào
喝	hē
和	hé
很	hěn
红	hóng
画	huà
黄	huáng
会	huì
几	jǐ
家	jiā
脚	jiǎo
叫	jiào
姐姐	jiějie
今天	jīntiān
九	jiǔ
觉得	juéde
看	kàn
可以	kěyǐ
口	kǒu
块	kuài
来	lái
老师	lǎoshī
了	le
冷	lěng
里面	lǐmiàn
两	liǎng
零	líng
六	liù
绿	lǜ
妈妈	māma
吗	ma
买	mǎi
猫	māo
没关系	méi guānxi
没有	méiyǒu
妹妹	mèimei
米饭	mǐfàn
面条	miàntiáo
明天	míngtiān
名字	míngzi
哪	nǎ
哪儿	nǎr
那	nà
那儿	nàr
呢	ne
你	nǐ
年	nián
鸟	niǎo
牛奶	niúnǎi
朋友	péngyou
漂亮	piàoliang
苹果	píngguǒ
七	qī
起床	qǐchuáng
铅笔	qiānbǐ
钱	qián
请	qǐng
去	qù
热	rè
认识	rènshi
三	sān
商店	shāngdiàn
上边	shàngbian
谁	shéi
什么	shénme
十	shí
是	shì
手	shǒu
书包	shūbāo
水	shuǐ
睡觉	shuìjiào
说话	shuōhuà
四	sì
岁	suì
他	tā
她	tā
天气	tiānqì
同学	tóngxué
头发	tóufa
玩	wán
晚上	wǎnshang
我	wǒ
我们	wǒmen
五	wǔ
喜欢	xǐhuan
现在	xiànzài
香蕉	xiāngjiāo
小	xiǎo
谢谢	xièxie
星期	xīngqī
熊猫	xióngmāo
学生	xuésheng
学习	xuéxí
学校	xuéxiào
颜色	yánsè
眼睛	yǎnjing
要	yào
也	yě
一	yī
医生	yīshēng
医院	yīyuàn
椅子	yǐzi
有	yǒu
鱼	yú
月	yuè
在	zài
再见	zàijiàn
早上	zǎoshang
怎么	zěnme
怎么样	zěnmeyàng
这	zhè
这儿	zhèr
真	zhēn
只	zhī
中国人	Zhōngguórén
桌子	zhuōzi
昨天	zuótiān
坐	zuò
做	zuò
